Query,Passage,Method,Judge_1,Judge_2,Judge_3,Final
mariah-carey-spouse-nick-cannon.txt,"...Cannon received his first break doing stand-up comedy on his fathers local cable access program. Personal life Cannon married singer Mariah Carey on April 30, 2008, at her private estate on Windermere Island in The Bahamas.  On April 30, 2011, their third wedding anniversary, Carey gave birth to fraternal twins: daughter Monroe  and son Moroccan Scott, because Cannon proposed to Carey in her Moroccan-style room; Scott is Cannons middle name and his grandmothers maiden name.  Monroe, like her mother, has no middle name.  After six years of marriage, the pair separated, and Cannon filed for divorce in 2014, which was finalized in 2016....",baseline,relevant,relevant,relevant,relevant
mariah-carey-spouse-nick-cannon.txt,"...On April 30, 2011, their third wedding anniversary, Carey gave birth to fraternal twins: daughter Monroe  and son Moroccan Scott, because Cannon proposed to Carey in her Moroccan-style room; Scott is Cannons middle name and his grandmothers maiden name.  Monroe, like her mother, has no middle name.  After six years of marriage, the pair separated, and Cannon filed for divorce in 2014, which was finalized in 2016.  Following a brief relationship, Cannon had another child, son Golden ""Sagon"" Cannon, with Brittany Bell on February 21, 2017.  Cannon was hospitalized on January 4, 2012, for treatment of ""mild kidney failure"", and again on February 17 after a pulmonary embolism....",baseline,relevant,relevant,partial,relevant
mariah-carey-spouse-nick-cannon.txt,"...|-| align=""center"" rowspan=""3""| 1991  | rowspan=""5""| Mariah Carey| Favorite Pop/Rock Female Artist  | |-| Favorite Soul/R B Female Artist  | |-| New Artist of The Year| |-| align=""center"" rowspan=""3""| 1992  | Favorite Pop/Rock Female Artist| |-| Favorite Soul/R B Female Artist| |-| ""Someday""| Favorite Dance Single| |-| align=""center"" rowspan=""6""| 1993  | rowspan=""3""| Mariah Carey | Favorite Pop/Rock Female Artist| |- | Favorite Soul/R B Female Artist| |-| Favorite Adult Contemporary Artist  | |-| ""Ill Be There""| Favorite Pop/Rock Single| |-| rowspan=""2""| MTV Unplugged EP| Favorite Adult Contemporary Album  | |-| Favorite Soul/R B Album| |-| align=""center"" rowspan=""3""| 1994  | rowspan=""2""| Mariah Carey| Favorite Pop/Rock Female Artist| |-| Favorite Soul/R B Female Artist| |- | ""Dreamlover""| Favorite Soul/R B Single| |-| align=""center"" rowspan=""4""| 1995  | rowspan=""2""| Mariah Carey| Favorite Pop/Rock Female Artist| |-| Favorite Adult Contemporary Artist| |-| rowspan=""2""| Music Box| Favorite Pop/Rock Album| |-| Favorite Soul/R B Album| |-| align=""center"" rowspan=""2""| 1996  | rowspan=""5""| Mariah Carey| Favorite Pop/Rock Female Artist| |-| Favorite Soul/R B Female Artist| |-| align=""center"" rowspan=""5""| 1997  | Favorite Pop/Rock Female Artist| |-| Favorite Soul/R B Female Artist| |-| Favorite Adult Contemporary Artist| |-| rowspan=""2""| Daydream| Favorite Pop/Rock Album| |- | Favorite Soul/R B Album| |-| align=""center""| 1998  | rowspan=""4""| Mariah Carey| Favorite Soul/R B Female Artist| |-| align=""center""| 2000  | Lifetime Achievement Award| |-| align=""center"" rowspan=""4""| 2005  | Favorite Pop/Rock Female Artist| |-| Favorite Soul/R B Female Artist| |-| rowspan=""2""| The Emancipation Of Mimi| Favorite Pop/Rock Album| |-| Favorite Soul/R B Album| |-| align=""center"" rowspan=""3""| 2006  | rowspan=""2""| Mariah Carey| Favorite Pop/Rock Female Artist| |-| Favorite Soul/R B Female Artist| |-| The Emancipation Of Mimi| Favorite Soul/R B Album| |-| align=""center"" rowspan=""3""| 2008  | rowspan=""2""| Mariah Carey| Honorary Award| |-| Favorite Pop/Rock Female Artist| |-| E=MC²| Favorite Soul/R B Album| |- ARIA Music Awards The Australian Recording Industry Association Music Awards  is an annual series of awards nights celebrating the Australian music industry, put on by the Australian Recording Industry Association ....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-spouse-nick-cannon.txt,"...With the release of ""Touch My Body"" , Carey gained her 18th number-one single in the United States, more than any other solo artist  .  In 2012, the singer was ranked second on VH1s list of the ""100 Greatest Women in Music"".  Aside from her commercial accomplishments, Carey has won 5 Grammy Awards, 19 World Music Awards, 11 American Music Awards, and 14 Billboard Music Award  s and has been consistently credited with inspiring a generation of singers....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-spouse-nick-cannon.txt,...  List of awards and nominations received by Mariah Carey:    Do Something Awards:  The Do Something Awards recognise both young people making social change and individuals from the entertainment industry who have dedicated their time to activism and charity.  Carey was awarded alongside her husband Nick Cannon in 2012.  Mariah Carey  | Do Something Couple|. ...,proposed,relevant,relevant,relevant,relevant
mariah-carey-spouse-nick-cannon.txt,"...  Nick Cannon:   Intro | website = }}Nicholas Scott ""Nick"" Cannon  is an American rapper, actor, comedian, entrepreneur, record producer, radio and television personality.  On television, Cannon began as a teenager on All That before going on to host The Nick Cannon Show, Wild N Out, and Americas Got Talent.  He acted in the films Drumline  , Love Dont Cost a Thing  , and Roll Bounce....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-spouse-nick-cannon.txt,"...  Mariah Carey:    Personal life:   Carey was in a relationship with singer Luis Miguel from 1998 to 2001.  Carey met actor and comedian Nick Cannon while they shot her music video for her song ""Bye Bye  "" on an island off the coast of Antigua.  On April 30, 2008, Carey married Cannon in The Bahamas....",proposed,relevant,relevant,partial,relevant
mariah-carey-spouse-nick-cannon.txt,"...The term continues to be applied to a woman who has separated from her partner, and ceases to be applied to such a woman only when her marriage has come to an end, following a legally recognized divorce or the death of her spouse.  On the death of her partner, a wife is referred to as a widow, but not after she is divorced from her partner. The rights and obligations of a wife in relation to her partner and her status in the community and in law vary between cultures and have varied over time. Summary thumbnail  wedding ring and a single-diamond, gold-banded engagement ring....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-spouse-nick-cannon.txt,"...  Me. I Am Mariah... The Elusive Chanteuse:    Development:   Her husband Nick Cannon told Billboard  in May 2011 that Carey had already completed a good amount of recording for a new album, a few months before during her pregnancy: ""Shes planning on having a  new single  out this year.  Shes been working away, and we have a studio in the crib, and  the pregnancy  has totally inspired her on so many different levels. "" Additionally, Cannon confirmed that Carey was inspired by her debut self-titled album  and its follow-up, Emotions  ....",proposed,relevant,relevant,relevant,relevant
mariah-carey-spouse-nick-cannon.txt,"...  The Warning :   Intro ""The Warning"" is a hip hop  diss song  written and performed by American rapper Eminem and produced by Dr.  Dre as part of an ongoing conflict with Mariah Carey.  Throughout his career, Eminem claimed he once had a relationship with Carey, dating her for six months.  Carey, however, always denied the claim.  As a result, Eminem recorded a number of songs in which he rapped about the singer in a negative light, angered by her not admitting to seeing him....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-spouse-nick-cannon.txt,"...  Wife:   Intro A wife is a female partner  in a continuing marital relationship.  A wife may also be referred to as a spouse, which is a gender-neutral term.  The term continues to be applied to a woman who has separated from her partner, and ceases to be applied to such a woman only when her marriage has come to an end, following a legally recognized divorce or the death of her spouse.  On the death of her partner, a wife is referred to as a widow, but not after she is divorced from her partner....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-spouse-nick-cannon.txt,"...  Nick Cannon:   Intro | website = }}Nicholas Scott ""Nick"" Cannon  is an American rapper, actor, comedian, entrepreneur, record producer, radio and television personality.  On television, Cannon began as a teenager on All That before going on to host The Nick Cannon Show, Wild N Out, and Americas Got Talent.  He acted in the films Drumline  , Love Dont Cost a Thing  , and Roll Bounce....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-spouse-nick-cannon.txt,"...Marriages are more likely to be a product of mutual love, rather than economic necessity or a formal arrangement among families.  Remaining single by choice is increasingly viewed as socially acceptable and there is less pressure on young couples to marry.  Marriage is no longer obligatory.  Interracial marriage is no longer forbidden. Asia and Africa Key facts concerning the marriage law in Africa and Asia: Marital rape is legal in most parts Africa and Asia alike.  Child marriage is legal in most parts of Africa and Asia alike....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-spouse-nick-cannon.txt,"...  E=MC² :    Singles:   The song failed to chart on the Hot 100, though became Careys fourteenth chart topper on the Hot Dance Club Play.  Additionally, it peaked at number ninety-five on the UK Singles Chart.  The songs accompanying music video was filmed by Careys husband, Nick Cannon, and features Carey as a dancer in a Las Vegas show at the The Bellagio Hotel and Casino Resort  ....",proposed,relevant,relevant,relevant,relevant
mariah-carey-award-received-grammy-award-for-best-new-artist.txt,"...  Mariah Carey:    2005–2007: Resurgence with The Emancipation of Mimi:   In 2006 Carey won Best Contemporary R B Album  for The Emancipation of Mimi, as well as Best Female R B Vocal Performance  and Best R B Song  for ""We Belong Together. "" The Emancipation of Mimi was the best-selling album in the United States in 2005, with nearly five million units sold.  It was the first album by a solo female artist to become the years best-selling album since Alanis Morissettes Jagged Little Pill in 1996....",proposed,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-award-received-grammy-award-for-best-new-artist.txt,"...H The nominations for the fragance M were presented to the company Elizabeth Arden. 2011 I The nominations for the fragance Lollipop Bling were presented to the company Elizabeth Arden. American Black Achievement Awards |-| align=""center""| 1991| Mariah Carey| The Music Award | |- American Music Awards The American Music Awards is an annual ceremony in the United States, with accolades awarded by way of public voting.  Mariah Carey has received 10 awards from 38 nominations....",baseline,non-relevant,relevant,non-relevant,non-relevant
mariah-carey-award-received-grammy-award-for-best-new-artist.txt,"...H The nominations for the fragance M were presented to the company Elizabeth Arden. 2011 I The nominations for the fragance Lollipop Bling were presented to the company Elizabeth Arden. American Black Achievement Awards |-| align=""center""| 1991| Mariah Carey| The Music Award | |- American Music Awards The American Music Awards is an annual ceremony in the United States, with accolades awarded by way of public voting.  Mariah Carey has received 10 awards from 38 nominations....",baseline,non-relevant,relevant,non-relevant,non-relevant
mariah-carey-award-received-grammy-award-for-best-new-artist.txt,"...shtml Mariah Awards]  Category:Mariah CareyCarey, Mariah  2002 Notes B Mariah received this nomination because of her performance of the song Hero  in the benefit concert America: A Tribute to Heroes. 2003 Notes E For over 100 million album sales worldwide and she was the first female ever to receive the award. 2006 Notes F This award was presented to EMI Music Publishing  for their 17 award-winning songs, including We Belong Together and Shake it off. 2008 Notes G Both ceremonies, AMA WWA, gave Mariah a Special Achievement Award for most # 1 singles  achieved by any female solo recording artist....",baseline,non-relevant,relevant,non-relevant,non-relevant
mariah-carey-award-received-grammy-award-for-best-new-artist.txt,"...  Ben Margulies:   Intro Ben Margulies is a Grammy-nominated songwriter and a RIAA  nine-time platinum certified record producer.  He is best known for co-writing, arranging, and producing Mariah Careys first album, Mariah Carey  . Early years Margulies began his musical career as a session drummer  for the New York new wave  trio Comateens, and joined their 1983 European tour to promote their Pictures on a String album....",baseline,partial,non-relevant,partial,partial
mariah-carey-award-received-grammy-award-for-best-new-artist.txt,"...  Mariah Carey:    Awards and honors:  Throughout Careys career, she has collected many honors and awards, including the World Music Awards Best Selling Female Artist of the Millennium, the Grammys Best New Artist in 1991, and Billboard  s Special Achievement Award for the Artist of the Decade during the 1990s.  In a career spanning over 20 years, Carey has sold over 200 million records worldwide, making her one of the biggest-selling artists  in music history.  Carey is ranked as the best-selling female artist of the Nielsen SoundScan era, with over 52 nbsp;million copies sold....",proposed,relevant,relevant,relevant,relevant
mariah-carey-award-received-grammy-award-for-best-new-artist.txt,"...  List of awards and nominations received by Mariah Carey:   Intro }} Mariah Carey has received many awards and accolades in recognition of her success in the music industry, among them; 5 Grammy Awards, 20 World Music Awards, 10 American Music Awards, 14 Billboard Music Awards  .  Below is a list of the awards she has received. External links  http://www. mariahdaily. com/info/awards. shtml Mariah Carey Awards   http://www. rockonthenet. com/amas/index. htm American Music Awards History  [http://www....",baseline_with_expansion,relevant,relevant,partial,relevant
mariah-carey-award-received-grammy-award-for-best-new-artist.txt,"...  Mariah Carey:    1988–1992: Mariah Carey and Emotions:   After the completion of her debut album, Mariah Carey  , Columbia spent more than $1 million promoting it.  Despite a weak start, the album eventually reached the top of the Billboard 200  , after Careys exposure at the 33rd Annual Grammy Awards.  Mariah Carey stayed atop the charts for eleven consecutive weeks, and she won the Best New Artist  , and Best Female Pop Vocal Performance  awards for her single ""Vision of Love....",proposed,relevant,partial,partial,partial
mariah-carey-award-received-grammy-award-for-best-new-artist.txt,"..., and brother of Branford  , Delfeayo  , and Jason  .  Marsalis performed the national anthem at Super Bowl XX in 1986. Life and career Marsalis was born in New Orleans, Louisiana, on October 18, 1961, the second of six sons of Delores  and Ellis Louis Marsalis, Jr.   , a pianist and music professor.  Marsalis brothers are: Branford Marsalis, Ellis Marsalis III , Delfeayo Marsalis, Mboya Kinyatta Marsalis , and Jason Marsalis....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-award-received-grammy-award-for-best-new-artist.txt,"...  Mariah Carey:    1993–1996: Music Box and Daydream:   Due to the albums success, Carey won two awards at the American Music Awards for her solo efforts: Favorite Pop/Rock Female Artist  and Favorite Soul/R B Female Artist  .  Daydream and its singles were respectively nominated in six categories at the 38th Grammy Awards.  Carey, along with Boyz II Men, opened the event with a performance of ""One Sweet Day....",proposed,partial,relevant,non-relevant,non-relevant
mariah-carey-award-received-grammy-award-for-best-new-artist.txt,"...H The nominations for the fragance M were presented to the company Elizabeth Arden. 2011 I The nominations for the fragance Lollipop Bling were presented to the company Elizabeth Arden. American Black Achievement Awards |-| align=""center""| 1991| Mariah Carey| The Music Award | |- American Music Awards The American Music Awards is an annual ceremony in the United States, with accolades awarded by way of public voting.  Mariah Carey has received 10 awards from 38 nominations....",baseline_with_expansion,partial,partial,non-relevant,partial
mariah-carey-award-received-grammy-award-for-best-new-artist.txt,"...  List of awards received by Al Gore:   Intro Al Gore has received a number of important awards and honors: 2012 awards and honors 2012 Inaugural member of the Internet Hall of Fame given by the Internet Society   In 2012, a fish species was named after him, Etheostoma gore, for his environmental vision, commitment, and accomplishments throughout decades of public service and his role in educating the public and raising awareness on the issue of global climate change 2011 awards and honors 2011 Honorary Doctorate, Hamilton College  2010 awards and honors 2010 Honorary Doctorate, Tilburg University  2010 Honorary Doctorate, University of Tennessee-Knoxville 2009 awards and honors 210px {{ Image:Gore Receives Berkeley Medal....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-award-received-grammy-award-for-best-new-artist.txt,"...  List of awards and nominations received by Mariah Carey:   Intro }} Mariah Carey has received many awards and accolades in recognition of her success in the music industry, among them; 5 Grammy Awards, 20 World Music Awards, 10 American Music Awards, 14 Billboard Music Awards  .  Below is a list of the awards she has received. External links  http://www. mariahdaily. com/info/awards. shtml Mariah Carey Awards   http://www. rockonthenet. com/amas/index. htm American Music Awards History  [http://www....",baseline,relevant,relevant,partial,relevant
mariah-carey-award-received-grammy-award-for-best-new-artist.txt,"...  List of awards and honours received by Audrey Hepburn:   Intro Audrey Hepburn received numerous awards and honors during her career.  Hepburn won or was nominated for awards for her work in motion pictures, television, spoken-word recording, on stage and humanitarian work.  She was five-times nominated for an Academy Award and was awarded the 1954 Academy Award for Best Actress for her performance in Roman Holiday and the Jean Hersholt Humanitarian Award in 1993, posthumously, for her humanitarian work....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-award-received-grammy-award-for-best-new-artist.txt,"...  Mariah Carey:    Intro:   With the release of ""Touch My Body"" , Carey gained her 18th number-one single in the United States, more than any other solo artist  .  In 2012, the singer was ranked second on VH1s list of the ""100 Greatest Women in Music"".  Aside from her commercial accomplishments, Carey has won 5 Grammy Awards, 19 World Music Awards, 11 American Music Awards, and 14 Billboard Music Award  s and has been consistently credited with inspiring a generation of singers....",proposed,relevant,relevant,partial,relevant
mariah-carey-unmarried-partner-luis-miguel.txt,"...  Marcus Nispel:    Life and early career:   }} , Audi, Canon  , Chase  , Coca-Cola, Dr Pepper, Fidelity, Kodak, Levis, LOréal, Marlboro  , Mercedes-Benz, Motorola, Nike  , Panasonic, Pepsi, RCA, Showtime  , Sprint  , Sprite  , Unisys, UPS  , US Postal Service, VISA Gold, MTV, ABC  , CBS and NBC. His music videos include over fifteen #1 songs and several breakthrough videos for artists such as the Spice Girls, Lil Kim, Simply Red, Puff Daddy, Bush  , No Doubt, the Fugees, George Michael, Janet Jackson, Elton John, Billy Joel, Aretha Franklin, Cher, Nina Hagen, Mylène Farmer, Olé Olé , Mariah Carey, k. d.  lang, Tony Bennett, C+C Music Factory, Bette Midler, LL Cool J, Sunz of Man, Bryan Adams, Luis Miguel and Gloria Estefan....",proposed,non-relevant,partial,non-relevant,non-relevant
mariah-carey-unmarried-partner-luis-miguel.txt,"...Several of the ballads that Carey wrote during this period, including ""Thank God I Found You""  and ""After Tonight"" , mirrored sentiments she experienced in her personal life. Rainbow was well received by critics, who generally praised Careys embrace of R B and hip hop in her music.  The album debuted at number two on the Billboard  200  , with first week sales of 323,000.  It was her first album in years to not reach number one.  Rainbow was certified triple-Platinum  by the Recording Industry Association of America , denoting shipments of three million copies within the United States....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-unmarried-partner-luis-miguel.txt,"...  Frankie Biggz:   Intro Francisco Andres Lucio , better known by his stage name Frankie Biggz, is an American record producer, singer-songwriter, musician and DJ. Frankie Biggzs first credit production work was in 1990 on Miguel Tomas  for his Latin-R B singer and brother Miguel Tomas.  After further productions and remixes on various 90s R B and Latino albums, Frankie Biggz became one of the most influential record producers for both Independent Major artists....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-unmarried-partner-luis-miguel.txt,"...  Dormir Contigo:   Intro ""Dormir Contigo""  is a song written by Armando Manzanero and produced and performed by Mexican singer Luis Miguel.  The song is a ""romantic ballad"" in which the protagonist expresses the joy of sleeping with his partner.  It was released as the third single from the album Amarte Es un Placer on January 2000.  The track peaked at number 11 Billboard Hot Latin Songs  chart in the Untied States and number two on the Latin Pop Songs chart....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-unmarried-partner-luis-miguel.txt,"...  O Tú o Ninguna:   Intro ""O Tú o Ninguna""  is a song written by Juan Carlos Calderón and produced and performed by Mexican singer Luis Miguel.  The song is a bolero in which the protagonist cannot envision his life without anyone else besides his love interest.  It was released as the second single from the album Amarte Es un Placer on 6 September 1999.  The track reached the top of the Billboard Hot Latin Songs  chart in the Untied States and peaked number seven on the Brazilian Singles Chart  ....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-unmarried-partner-luis-miguel.txt,"...  Rainbow :    Writing and recording:   Careys lover at the time, Luis Miguel, was in the midst of a European tour.  In order to spend more time with him, she opted to record the album on the secluded island of Capri, Italy, figuring the seclusion would also help her complete the album sooner.  During this time, Careys strained relationship with Sony affected her work with writing partner Afanasieff, who had worked extensively with Carey throughout the first half of her career....",proposed,partial,relevant,partial,partial
mariah-carey-unmarried-partner-luis-miguel.txt,"...  Wife:   Intro A wife is a female partner  in a continuing marital relationship.  A wife may also be referred to as a spouse, which is a gender-neutral term.  The term continues to be applied to a woman who has separated from her partner, and ceases to be applied to such a woman only when her marriage has come to an end, following a legally recognized divorce or the death of her spouse.  On the death of her partner, a wife is referred to as a widow, but not after she is divorced from her partner....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-unmarried-partner-luis-miguel.txt,"...  Mariah Carey:    Personal life:   Carey was in a relationship with singer Luis Miguel from 1998 to 2001.  Carey met actor and comedian Nick Cannon while they shot her music video for her song ""Bye Bye  "" on an island off the coast of Antigua.  On April 30, 2008, Carey married Cannon in The Bahamas....",proposed,relevant,relevant,relevant,relevant
mariah-carey-unmarried-partner-luis-miguel.txt,"...The term continues to be applied to a woman who has separated from her partner, and ceases to be applied to such a woman only when her marriage has come to an end, following a legally recognized divorce or the death of her spouse.  On the death of her partner, a wife is referred to as a widow, but not after she is divorced from her partner. The rights and obligations of a wife in relation to her partner and her status in the community and in law vary between cultures and have varied over time. Summary thumbnail  wedding ring and a single-diamond, gold-banded engagement ring....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-unmarried-partner-luis-miguel.txt,"...  Rainbow :    Music and lyrics:   Carey had strong feelings about the song, as she wrote it about her relationship with Luis Miguel.  The song was compared instrumentally to ""My All"" from Butterfly, which features traces of Latin and guitar instrumentation.  In the lyrics, the protagonist asks her lover if he will still love her and come back to her ""after tonight....",proposed,partial,relevant,partial,partial
mariah-carey-unmarried-partner-luis-miguel.txt,...  Template:Close relationships:   Intro }|embedded|child=border:none;font-size:100%;}}| topimage = } | }}| topcaptionstyle = padding-bottom:0. 4em;| topcaption = }| titleclass = navbox-title| titlestyle = display:block;margin-bottom:0....,baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-unmarried-partner-luis-miguel.txt,"...First of all, one can only talk of ""common law marriage"" if such marriage was formed in a jurisdiction which actually applies the common law.  A 2008 poll in the UK showed that 51% of respondents incorrectly believed that cohabitants had the same rights as married couples.  Non-marital relationship contracts are not necessarily recognized from one jurisdiction to another, and neither are de facto couples, whereas common-law marriages, being a legal marriage, are valid marriages worldwide ....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
